"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.89619620184736,0.309,0.036,0,"0","ADGRB3"
0,3.06644124090295,0.435,0.067,0,"0","SLC35F1"
1.04706729144322e-219,2.3444498182879,0.279,0.058,2.75148342845451e-215,"0","AIM2"
3.93608337509078e-155,2.20869980076848,0.261,0.072,1.03432398930635e-150,"0","SLAMF7"
3.99283701118466e-155,2.12729176054949,0.254,0.068,1.04923770979911e-150,"0","TENM4"
1.41355635112638e-172,2.11009508133877,0.25,0.059,3.7145433794899e-168,"0","AC079015.1"
1.26630803665437e-317,2.0488059124702,0.533,0.17,3.32760425872034e-313,"0","AP001636.3"
2.36013698770619e-204,2.01064713327154,0.401,0.136,6.20196797629432e-200,"0","GBP4"
3.70780384042884e-130,1.98824807800904,0.422,0.197,9.74336693187892e-126,"0","GBP1"
1.06348529481424e-164,1.92953125126198,0.27,0.072,2.79462665771285e-160,"0","MTUS1"
6.86965047199601e-121,1.91460494139108,0.321,0.127,1.80520675103111e-116,"0","GBP5"
2.67918846711516e-137,1.88198997170951,0.324,0.12,7.04037145388523e-133,"0","ANKRD22"
1.27394216227433e-207,1.8196978627796,0.478,0.185,3.3476652140245e-203,"0","MACC1"
2.20112189433749e-140,1.75182453185001,0.307,0.105,5.78410811394006e-136,"0","LINC01684"
2.13971740796481e-160,1.7511605921591,0.333,0.111,5.62274940464992e-156,"0","ANOS1"
2.60959985936581e-145,1.74212472372396,0.35,0.131,6.85750651044148e-141,"0","P2RY12"
0,1.7395732221038,0.745,0.35,0,"0","C3"
2.13755713743533e-208,1.61337036804811,0.498,0.199,5.61707264575256e-204,"0","DLEU7"
1.29961783793801e-177,1.55487421255404,0.671,0.422,3.41513575453349e-173,"0","STAT1"
1.95288252976039e-91,1.48103700672577,0.255,0.099,5.13178471170436e-87,"0","APOL3"
7.09750887937969e-122,1.46669045849929,0.343,0.137,1.86508338332339e-117,"0","LINC01146"
1.39016876966893e-167,1.45994082229934,0.482,0.209,3.65308549293602e-163,"0","BHLHE41"
3.35848008006385e-151,1.45631970777479,0.409,0.166,8.82541395439177e-147,"0","SERPING1"
7.7063090505015e-229,1.45164768297659,0.552,0.222,2.02506389229079e-224,"0","AC120193.1"
2.91271880203316e-151,1.44991392885268,0.454,0.203,7.65404246798273e-147,"0","AL035446.2"
1.62342491901343e-136,1.44773636426152,0.384,0.158,4.26603600218348e-132,"0","HGF"
7.92654168116522e-168,1.44247012212319,0.507,0.235,2.0829366229766e-163,"0","MARCH3"
