"pathway","pval","padj","log2err","ES","NES","size","cluster"
"AKT_UP.V1_DN",0.00247952998355024,0.0290625217301757,0.431707695803346,-0.6864478227384,-1.71507572671237,15,"0"
"AKT_UP.V1_UP",0.390804597701149,0.518330308529946,0.0687943095604775,-0.374899677932698,-1.04323456587407,24,"0"
"AKT_UP_MTOR_DN.V1_UP",0.305170239596469,0.436948297604035,0.0808589150280032,-0.401280004627836,-1.12568573471547,25,"0"
"ALK_DN.V1_UP",0.0478142076502732,0.158541846419327,0.241339976815091,-0.589541634080764,-1.47295761309973,15,"0"
"ATF2_S_UP.V1_DN",0.265625,0.39873417721519,0.0902635484340068,-0.427082935679241,-1.15933993759931,21,"0"
"ATF2_S_UP.V1_UP",0.458005249343832,0.5602782661876,0.0623861492893626,-0.377993598698538,-1.00764624828263,19,"0"
"ATF2_UP.V1_DN",0.00310930532627107,0.0301363439315504,0.431707695803346,-0.593608615939614,-1.68338995474814,27,"0"
"BMI1_DN.V1_DN",0.860709592641261,0.881702509534951,0.0331626424471441,-0.266417226452589,-0.71883185103836,20,"0"
"BMI1_DN_MEL18_DN.V1_DN",0.275,0.407647058823529,0.172324344900946,0.355437220835178,1.14140605445793,19,"0"
"BMI1_DN_MEL18_DN.V1_UP",0.00683301758396952,0.0453136955568505,0.407017918923954,-0.592198227650161,-1.63146366795372,23,"0"
"CAMP_UP.V1_DN",0.117788461538462,0.255826271186441,0.13880510939114,-0.426610305506362,-1.31113741497031,41,"0"
"CAMP_UP.V1_UP",0.229960578186597,0.360082304526749,0.0992333343771191,-0.446264573472677,-1.20408576304767,20,"0"
"CRX_DN.V1_DN",0.140604467805519,0.276815045992116,0.132147260608774,-0.48334809690011,-1.30414242283393,20,"0"
"CRX_NRL_DN.V1_UP",0.0738255033557047,0.202217683104756,0.190023305279108,-0.551283287669764,-1.40444148694924,16,"0"
"CSR_EARLY_UP.V1_UP",0.175925925925926,0.306230667255855,0.116739204791222,-0.47763439973555,-1.24814274113693,18,"0"
"CSR_LATE_UP.V1_DN",0.506613756613757,0.607936507936508,0.0579754757571486,-0.373843648003418,-0.976919241650021,18,"0"
"CYCLIN_D1_KE_.V1_DN",0.0530503978779841,0.166456494325347,0.224966093540314,-0.560072315852813,-1.45023544028187,17,"0"
"CYCLIN_D1_KE_.V1_UP",0.00380034332963875,0.0319228839689655,0.431707695803346,-0.634590190752291,-1.73525332473504,22,"0"
"CYCLIN_D1_UP.V1_DN",0.719945355191257,0.78778286637931,0.0432768714901103,-0.33333593062879,-0.832832947421822,15,"0"
"E2F1_UP.V1_DN",0.192118226600985,0.327120223671948,0.106323255932708,-0.428512215562496,-1.23566715293767,29,"0"
"EGFR_UP.V1_DN",0.638211382113821,0.717987804878049,0.105920292736253,0.282572176632409,0.89344415904468,18,"0"
"EGFR_UP.V1_UP",0.0167105047072415,0.0751972711825868,0.352487857583619,-0.482719598792249,-1.5169276293421,47,"0"
"EIF4E_DN",0.368700265251989,0.49421524916756,0.0736212741014394,-0.417514815049404,-1.08110107300233,17,"0"
"ERBB2_UP.V1_DN",0.231481481481481,0.360082304526749,0.0992333343771191,-0.459030606332411,-1.19952775505847,18,"0"
"ERBB2_UP.V1_UP",0.108556832694764,0.248693834900731,0.150169802128406,-0.481838540501165,-1.34081369019306,24,"0"
"ESC_J1_UP_EARLY.V1_DN",0.752645502645503,0.810541310541311,0.03975964750879,-0.309913214923839,-0.809857769465028,18,"0"
"ESC_J1_UP_EARLY.V1_UP",0.328912466843501,0.45541726178331,0.0795564677235957,-0.430962496316116,-1.11592211916117,17,"0"
"ESC_J1_UP_LATE.V1_DN",0.538359788359788,0.633956386292835,0.0551351763385257,-0.363920204622731,-0.950987537757787,18,"0"
"ESC_J1_UP_LATE.V1_UP",0.167487684729064,0.306230667255855,0.115240003147781,-0.438398875090116,-1.26417653957096,29,"0"
"ESC_V6.5_UP_EARLY.V1_DN",0.00049226751806882,0.00886081532523877,0.477270815362862,-0.673035407416513,-1.87285784011821,24,"0"
"ESC_V6.5_UP_LATE.V1_DN",0.0080929871621913,0.0509858191218052,0.380730400722792,-0.622951218126239,-1.69103508010984,21,"0"
"ESC_V6.5_UP_LATE.V1_UP",0.171875,0.306230667255855,0.117249716749792,-0.460881403737626,-1.25108772374638,21,"0"
"GCNP_SHH_UP_EARLY.V1_DN",0.133669609079445,0.271651141032421,0.132846300606183,-0.469960476518013,-1.3183507730146,25,"0"
"GCNP_SHH_UP_LATE.V1_UP",0.448275862068966,0.559235233868214,0.0639271933359996,-0.394916115773914,-1.02258463920273,17,"0"
"HALLMARK_ADIPOGENESIS",0.323607427055703,0.453050397877984,0.080419996876154,-0.432534407352057,-1.11999238121264,17,"0"
"HALLMARK_ALLOGRAFT_REJECTION",0.580645161290323,0.6712044983723,0.131457611642763,0.245935666382859,0.916895531822077,34,"0"
"HALLMARK_ANDROGEN_RESPONSE",0.610421836228288,0.692911273556435,0.0464154956843849,-0.319053034333733,-0.912687166912403,28,"0"
"HALLMARK_APICAL_JUNCTION",0.0450227026762844,0.153320555059779,0.321775918075361,-0.609447079943716,-1.5526187394343,16,"0"
"HALLMARK_APOPTOSIS",0.22673031026253,0.360082304526749,0.0943563635421779,-0.383592903348101,-1.18854686962296,44,"0"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.065359477124183,0.18716577540107,0.199915231309662,-0.525035781991112,-1.435682586308,22,"0"
"HALLMARK_COAGULATION",0.0338541666666667,0.129261363636364,0.282013350011725,-0.557256264712214,-1.53520106472634,23,"0"
"HALLMARK_COMPLEMENT",0.17710843373494,0.306230667255855,0.110122263835536,-0.405780445280627,-1.24883258951169,42,"0"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.07152887046337e-06,0.000256506318839193,0.610526878385931,-0.691181523256167,-2.05804641003208,35,"0"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.177261613691932,0.306230667255855,0.11101149245045,-0.428914201924879,-1.25543913108425,32,"0"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.17741935483871,0.306230667255855,0.111918316325105,-0.434175902812869,-1.24200910832088,28,"0"
"HALLMARK_FATTY_ACID_METABOLISM",0.0959264126149803,0.228051471499764,0.163180127180689,-0.511260953223185,-1.37945530873718,20,"0"
"HALLMARK_G2M_CHECKPOINT",0.822834645669291,0.849812830773203,0.0352404270679709,-0.281292676010312,-0.749863253311933,19,"0"
"HALLMARK_GLYCOLYSIS",0.000238971953801788,0.00501841102983755,0.518848077743792,-0.656921435453724,-1.8943129515813,29,"0"
"HALLMARK_HEME_METABOLISM",0.154761904761905,0.295454545454545,0.12563992130984,-0.487814605732682,-1.27474541093131,18,"0"
