"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",0,1.6112448962751,0.865,0.286,0
"FCGBP",0,3.48949869890036,0.551,0.106,0
"AC093895.1",0,3.26974873458533,0.538,0.117,0
"DDX3Y",0,-6.99596049876994,0.007,0.427,0
"RPS4Y1",0,-4.50892232179605,0.028,0.424,0
"UTY",0,-5.51472146856313,0.011,0.405,0
"HTRA1",0,2.8343848201139,0.566,0.195,0
"SPP1",0,1.90138103329256,0.731,0.363,0
"CPA6",0,4.33349088277725,0.41,0.046,0
"MGP",0,2.84650101203584,0.413,0.076,0
"LINC00278",2.37151510003798e-322,-7.36395687292213,0.005,0.368,6.23186737987981e-318
"HLA-DQA2",7.11416981022311e-317,-2.05539773920083,0.133,0.546,1.86946154273043e-312
"SERPINE1",6.27053461015881e-253,3.23412106093085,0.351,0.099,1.64777108485753e-248
"USP9Y",3.45551019832985e-217,-5.68440208514516,0.006,0.273,9.08038969917119e-213
"AC131944.1",3.04376020078803e-214,2.61411478362942,0.24,0.046,7.99839305563079e-210
"ANKRD36B",1.07383726656259e-200,3.06278496057571,0.292,0.084,2.82182956907318e-196
"DOCK4",8.23430704940009e-197,0.932877415877215,0.97,0.938,2.16381120644136e-192
"FAM135B",1.38169926823346e-189,4.0441216193255,0.161,0.019,3.63082933706388e-185
"TTTY14",1.78987739392225e-187,-5.22422948644306,0.014,0.256,4.70343981574888e-183
"TMEM176B",9.49955923460866e-169,-1.44162087430153,0.232,0.519,2.49629417567046e-164
"ENPP2",2.09430309201356e-162,-3.30252434730361,0.072,0.315,5.50340966519324e-158
"TANC2",1.86059783060344e-161,1.04774836246825,0.821,0.67,4.88927897925971e-157
"DTNA",1.10526670733541e-158,1.22197454713733,0.557,0.32,2.90441985353599e-154
"CLEC5A",1.62305663577717e-158,1.30259572054293,0.442,0.203,4.26506822749524e-154
"ALOX5AP",4.28505687944917e-154,1.19810371763099,0.669,0.457,1.12602724678165e-149
"CD24",1.26962064027232e-153,2.26302529865799,0.221,0.057,3.33630911850761e-149
"ARHGAP24",1.7622731388825e-145,0.834475462357752,0.834,0.672,4.63090135435543e-141
"MSR1",3.06801406857363e-140,0.79798747083828,0.893,0.816,8.06212736939779e-136
