"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COX10-DT",3.75298396087831e-112,-7.42005738030315,0.001,0.256,9.86209125239603e-108
"BMAL1",1.59311759874504e-65,-5.00815958855488,0.018,0.436,4.18639442598221e-61
"GPX1",3.75623951767412e-64,-3.22903421938475,0.075,0.846,9.87064620454404e-60
"H3-3B",5.06343492101339e-63,-3.31903643375809,0.077,0.846,1.3305694285439e-58
"TALAM1",1.88114929341498e-62,-4.21696551492564,0.045,0.641,4.94328411323588e-58
"H2AJ",9.75129763174164e-62,-3.70330500702646,0.052,0.692,2.56244599166907e-57
"GP6-AS1",3.16194495661949e-58,-5.47895106935672,0.008,0.282,8.3089589570047e-54
"H3-3A",3.29421046470517e-55,-3.20455134455194,0.076,0.795,8.65652625915225e-51
"MATR3",2.36444039664453e-54,-3.74729927508698,0.061,0.692,6.2132764743025e-50
"CYRIB",2.86377619673212e-54,-3.47721810213227,0.074,0.769,7.52543108977267e-50
"MARS1",1.25597217342194e-52,-4.42910251990616,0.018,0.385,3.30044367731818e-48
"MIR23AHG",6.86617216713284e-51,-3.53553459772309,0.05,0.615,1.80429272207917e-46
"ATP5MJ",3.14151332662204e-47,-3.42910251990616,0.059,0.641,8.2552687196974e-43
"BTG1-DT",3.89843637357186e-46,-4.77851135121563,0.021,0.385,1.02443111024721e-41
"AKAP13-AS1",8.94109282679758e-44,-4.09401317694356,0.029,0.436,2.34954037302587e-39
"CYRIA",7.68707464516043e-42,-2.95620396508126,0.065,0.641,2.02000947525526e-37
"SLC38A4-AS1",8.41364549425941e-42,-6.00501988102431,0.008,0.231,2.21093776298149e-37
"MACROH2A1",6.80086316343423e-41,-3.39431981888954,0.069,0.641,1.78713082208725e-36
"DNAAF9",6.8365614888545e-37,-3.59693514238723,0.048,0.513,1.79651162804119e-32
"H2AZ1",8.87151327443625e-37,-3.24555964907102,0.053,0.538,2.33125625825636e-32
"MARCHF6",3.88673221073313e-36,-3.63129967712288,0.04,0.462,1.02135549033645e-31
"YARS1",9.24261141445553e-36,-4.24275284849524,0.017,0.308,2.42877342749062e-31
"HYCC1",6.1772475993824e-35,-3.7850541970824,0.024,0.359,1.62325712416571e-30
"TARS1",7.52923900838892e-35,-4.28255385655322,0.015,0.282,1.97853342662444e-30
"PSME3IP1",1.58143352627889e-34,-3.86751635727437,0.029,0.385,4.15569102035566e-30
"FCGR2C",2.71835897972913e-34,-3.92436221767908,0.025,0.359,7.14330372693221e-30
"LARS1",1.32304698068052e-33,-3.80154231987097,0.026,0.359,3.47670285583226e-29
"CHASERR",2.35324353463283e-33,-3.9978243796201,0.05,0.487,6.18385336030815e-29
"PPIEL",1.04690523378713e-32,-4.5720604737482,0.008,0.205,2.75105757334583e-28
"CXCL5",1.68919405493425e-32,-5.07270668853588,0.01,0.231,4.43886413755623e-28
"TBC1D22A-DT",2.06608296915658e-32,-4.5720604737482,0.01,0.231,5.42925282634966e-28
"H1-3",4.60390303433332e-32,-3.68887413873095,0.023,0.333,1.20981363936211e-27
"FAM151B-DT",2.70395796169886e-31,-4.29452649821929,0.014,0.256,7.10546073175226e-27
"ATP5MK",4.22261158285693e-31,-3.06391357007788,0.063,0.538,1.10961787174314e-26
"LIMASI",1.4963941802904e-30,-4.07610297908579,0.014,0.256,3.93222462696712e-26
"SMIM11",2.21713122766e-30,-5.00501988102431,0.006,0.179,5.82617744004495e-26
"EEIG2",7.44461734327463e-30,-3.60405058799264,0.043,0.436,1.95629654546571e-25
"HAPSTR1",8.15995696702916e-30,-3.91998377716851,0.021,0.308,2.14427349179592e-25
"MARCHF1",1.24209338218575e-29,-3.43173918535079,0.054,0.487,3.26397298970771e-25
"GARS1-DT",1.44352273837386e-29,-3.52475475896985,0.034,0.385,3.79328905189883e-25
"BLTP1",1.391917076199e-28,-3.31706338697983,0.04,0.41,3.65767969283573e-24
"DARS1",5.73903858969947e-28,-3.78618527910105,0.036,0.385,1.50810456060123e-23
"LINC03009",1.47115605683339e-27,-3.79947096985128,0.032,0.359,3.86590388614677e-23
"ST20",2.46215297565668e-27,-3.78778916480364,0.019,0.282,6.47004558943063e-23
"SPOPL-DT",5.55004548919002e-27,-4.68309178613695,0.008,0.179,1.45844095364935e-22
"MARCHF7",1.57995300627472e-26,-3.34966805241175,0.043,0.41,4.15180050988871e-22
"HLA-DRB6",4.50824094182173e-26,-3.76216335712815,0.034,0.359,1.18467555469191e-21
"STAC",1.83960190233466e-25,-3.92436221767908,0.046,0.41,4.83410587895501e-21
"SLAMF9",4.04450815354234e-25,-4.61645459310666,0.008,0.179,1.06281585258785e-20
"VCAN",8.99579351317546e-25,-3.23645744196376,0.206,0.821,2.36391461939225e-20
"RSL1D1-DT",1.06444152059381e-24,-5.15702297446936,0.004,0.128,2.79713942781641e-20
"H2AC6",1.30577339820484e-24,-3.68571725554377,0.014,0.231,3.43131133580268e-20
"STX17-DT",2.40526907474547e-23,-4.7647055516906,0.006,0.154,6.32056607461614e-19
"HARS1",9.91490724009801e-23,-4.40213547230589,0.009,0.179,2.60543932455296e-18
"CSTPP1",9.99745202505887e-23,-3.98709797302705,0.016,0.231,2.62713044314497e-18
"GARS1",3.81824579295697e-22,-3.61270245824555,0.02,0.256,1.00335862947323e-17
"H4C3",4.28702582315313e-22,-3.49405796174693,0.024,0.282,1.12654464580818e-17
"RFX3-DT",6.16819692643893e-22,-5.05748730091844,0.005,0.128,1.62087878832962e-17
"SLC30A4-AS1",2.7047585220129e-21,-3.835094879582,0.01,0.179,7.10756444414549e-17
"ADSS2",7.54420031964359e-21,-3.03049056854043,0.031,0.308,1.98246495999594e-16
"ZNF767P",2.07806851162038e-20,-3.97259840333193,0.014,0.205,5.46074843483604e-16
"GOLM2",3.02048542311421e-20,-3.33939971695793,0.037,0.333,7.93723159485952e-16
"ANPEP",4.47390003589197e-20,-2.89223878668561,0.138,0.641,1.17565145143169e-15
"H2AZ2",1.37007753394996e-19,-3.15702297446936,0.051,0.385,3.6002897437137e-15
"H3F3B",2.19824696472615e-19,3.74513676417975,0.911,0.385,5.77655337390738e-15
"CHN2",2.94477535582717e-19,-2.68601666304529,0.1,0.538,7.73828068004264e-15
"MTRFR",3.55183351454281e-19,-4.37941539580581,0.008,0.154,9.33350810951561e-15
"MAILR",4.35564497589816e-19,-3.90909546102577,0.024,0.256,1.14457638676652e-14
"ATOSB",4.5948992772825e-19,-4.11262885511091,0.011,0.179,1.20744763208429e-14
"FAM124A",9.72354459184493e-19,-4.71645038308338,0.006,0.128,2.55515304784501e-14
"H3F3A",9.95763880319347e-19,3.57768664575648,0.897,0.308,2.61666832470318e-14
"RHOQ-AS1",1.03790038847064e-18,-4.5720604737482,0.006,0.128,2.72739464082315e-14
"CHD1-DT",1.27005910862901e-18,-4.23948513466133,0.012,0.179,3.33746132565532e-14
"GGTA1",1.31806171550538e-18,-3.71844996072973,0.024,0.256,3.46360257600504e-14
"U2AF1",2.11957054657387e-18,-2.79662073176736,0.096,0.513,5.56980748228683e-14
"FAM49B",2.16692915898622e-18,3.66793576605916,0.881,0.256,5.69425644398399e-14
"BLTP3B",2.25484558488828e-18,-3.14419893411178,0.029,0.282,5.92528322796942e-14
"SERPINB2",2.65071695307743e-18,-4.49405796174693,0.004,0.103,6.96555400929688e-14
"CENATAC",4.55054759844747e-18,-3.98709797302705,0.012,0.179,1.19579289792003e-13
"TMEM161B-DT",5.56545870905779e-18,-4.5720604737482,0.009,0.154,1.46249123956621e-13
"LINC-PINT",1.1030119817335e-17,-2.7277113442084,0.266,0.769,2.89849488559929e-13
"SH3PXD2B",2.16528204990224e-17,-2.66372646127002,0.149,0.615,5.68992817073311e-13
"TAFAZZIN",3.5498707104774e-17,-3.90909546102577,0.013,0.179,9.32835025299252e-13
"MARCHF8",4.23034622784589e-17,-4.71645038308338,0.006,0.128,1.11165038175334e-12
"PRANCR",4.27135987057855e-17,-4.77851135121563,0.004,0.103,1.12242794679063e-12
"SKIC3",5.88388504589107e-17,-3.47421315035006,0.033,0.282,1.54616731235925e-12
"MIR3667HG",7.63726465565173e-17,-4.5720604737482,0.01,0.154,2.00692040621216e-12
"RPS10",1.16598961526167e-16,-2.05496627281174,0.51,0.923,3.06398751098463e-12
"AMZ2P1",2.26472036924386e-16,-4.6424498016396,0.007,0.128,5.95123218629902e-12
"EREG",2.45367322583427e-16,-2.40978904484933,0.06,0.385,6.44776250284731e-12
"PCGF3-AS1",4.93768795546879e-16,-3.90068322120957,0.014,0.179,1.29752564093809e-11
"GARRE1",5.53772686493547e-16,-3.79947096985128,0.014,0.179,1.45520386556774e-11
"RIPK2-DT",6.23315134267954e-16,-3.69759135583206,0.018,0.205,1.63794750982933e-11
"S100A9",6.67749140535846e-16,-2.79340337807947,0.38,0.846,1.7547111915001e-11
"H1-2",8.39623166158994e-16,-2.90909546102577,0.034,0.282,2.20636175603260e-11
"MARCH1",1.15264710850456e-15,3.8521058150699,0.803,0.179,3.02892607172829e-11
"IRF1-AS1",1.23097712843039e-15,-4.2184235191335,0.007,0.128,3.23476169808938e-11
"PELATON",1.41076504071524e-15,-2.66705698768395,0.041,0.308,3.70720837399152e-11
"PALM2AKAP2",2.14012472246127e-15,-3.90909546102577,0.015,0.179,5.62381974568372e-11
"FRMD4A",2.17520591676648e-15,3.65174014198105,0.829,0.282,5.71600610807895e-11
"ANXA2R-AS1",2.29512143472994e-15,-3.49405796174693,0.019,0.205,6.03112010618335e-11
"MCEMP1",2.95437461684591e-15,-3.30055028584706,0.05,0.333,7.76350561814769e-11
"FRMD4B",3.30442010321755e-15,2.35209221048139,0.927,0.564,8.68335514723508e-11
"IRAG2",4.87828369235641e-15,-3.50932471840024,0.025,0.231,1.28191538867742e-10
"PTGR3",7.35344546360661e-15,-3.96437789652696,0.011,0.154,1.93233839892655e-10
"MFSD14CP",9.10698042579688e-15,-3.42005738030315,0.025,0.231,2.3931323162909e-10
"ZZZ3",1.10383441037429e-14,-3.29904197934179,0.025,0.231,2.90065606358155e-10
"COL3A1",1.33535438999239e-14,-2.13571246822395,0.067,0.385,3.50904426602201e-10
"CD74",1.35734059539057e-14,1.53080375405692,0.996,0.974,3.56681961656735e-10
"MIR223HG",1.35745957602411e-14,-3.60243412279172,0.015,0.179,3.56713227387615e-10
"BPNT2",1.3744726690304e-14,-3.44430492654983,0.02,0.205,3.6118392796781e-10
"WARS1",1.9969547921836e-14,-3.07729578199862,0.026,0.231,5.24759780290006e-10
