"pathway","pval","padj","log2err","ES","NES","size"
"AKT_UP.V1_DN",0.60875,1,0.0468819856878333,-0.397253345231276,-0.901703904032239,61
"AKT_UP.V1_UP",0.706601466992665,1,0.0390355298112393,-0.3611290454517,-0.828438046645571,67
"AKT_UP_MTOR_DN.V1_DN",0.126865671641791,0.941384977620291,0.135740943810425,-0.592187841041705,-1.33246961618947,54
"AKT_UP_MTOR_DN.V1_UP",0.237980769230769,1,0.0919686140000427,-0.51614817043271,-1.2054474848837,76
"ALK_DN.V1_DN",0.0704280905026934,0.869247050812425,0.287805130535564,0.496981160400626,1.38437178076673,34
"ALK_DN.V1_UP",0.184678522571819,0.988758829097794,0.115734447701689,-0.606297600979714,-1.29904412091374,39
"ATF2_S_UP.V1_DN",0.654613466334165,1,0.0434506826723125,-0.384031887461138,-0.870530203968166,59
"ATF2_S_UP.V1_UP",0.132971506105834,0.946212824020763,0.13880510939114,-0.619623574140143,-1.33813665697087,44
"ATF2_UP.V1_DN",0.620606060606061,1,0.0445961615888961,-0.386258506699327,-0.895025874525534,71
"ATF2_UP.V1_UP",0.463320463320463,1,0.0609039347452418,-0.453270103631013,-1.00574675393622,49
"ATM_DN.V1_DN",0.681063122923588,1,0.0899860794997137,0.313150481879994,0.872300048353345,34
"ATM_DN.V1_UP",0.678571428571429,1,0.0480220415968251,-0.390304792557353,-0.817670852931058,32
"BCAT.100_UP.V1_DN",0.306122448979592,1,0.115734447701689,0.595310310082954,1.17519100834258,7
"BCAT.100_UP.V1_UP",0.729805013927577,1,0.0766746872490091,0.319253443372112,0.798004404900909,19
"BCAT_BILD_ET_AL_DN",0.3,1,0.0886261133285098,-0.56929733852305,-1.19265212530825,32
"BCAT_BILD_ET_AL_UP",0.769465648854962,1,0.0453152441270267,-0.370752206516802,-0.725463546302016,20
"BCAT_GDS748_DN",0.973724884080371,1,0.0350150690873584,-0.219198971398987,-0.432109098816473,23
"BCAT_GDS748_UP",0.621745788667688,1,0.0552495663125249,-0.437639817100518,-0.858074776795697,21
"BMI1_DN.V1_DN",0.0329441693819774,0.725100095919289,0.321775918075361,0.464552374657929,1.36943746127469,51
"BMI1_DN.V1_UP",0.200814111261872,1,0.109684061970549,-0.582767711799465,-1.25854288023187,44
"BMI1_DN_MEL18_DN.V1_DN",0.17910447761194,0.98401527866196,0.237793834423688,0.409922383578568,1.21344251306428,52
"BMI1_DN_MEL18_DN.V1_UP",0.492555831265509,1,0.0562940749700968,-0.438704868503415,-0.991547985244934,57
"BRCA1_DN.V1_DN",0.758953168044077,1,0.0412376090540065,-0.349598121931382,-0.743592144698893,36
"BRCA1_DN.V1_UP",0.261363636363636,1,0.104343952581949,-0.65162606061488,-1.22351376735003,14
"CAHOY_ASTROCYTIC",0.336336336336336,1,0.0850427463764322,-0.572413247139817,-1.15463782132091,28
"CAHOY_ASTROGLIAL",0.565155807365439,1,0.0560595875032335,-0.434851502559215,-0.915196089949251,33
"CAHOY_NEURONAL",0.365296803652968,1,0.104732821580651,0.519672282173156,1.10528121581485,9
"CAHOY_OLIGODENDROCUTIC",0.608571428571429,1,0.0530212512043078,-0.414464998864578,-0.868285390274502,32
"CAMP_UP.V1_DN",0.869074492099323,1,0.0249900772245545,-0.302213355264913,-0.723126470411228,111
"CAMP_UP.V1_UP",0.286021505376344,1,0.0758886900606117,-0.469020343182082,-1.14324274447704,140
"CORDENONSI_YAP_CONSERVED_SIGNATURE",0.233918128654971,1,0.155241966228839,0.449569083455056,1.19298445266643,25
"CRX_DN.V1_DN",0.384615384615385,1,0.0689567351672811,-0.488932023850203,-1.0958162804779,51
"CRX_DN.V1_UP",0.0551975099900827,0.841568632507653,0.321775918075361,0.492509789744572,1.37446342571118,35
"CRX_NRL_DN.V1_DN",0.311454311454311,1,0.0808589150280032,-0.520768264777722,-1.15551629736331,49
"CRX_NRL_DN.V1_UP",0.0970149253731343,0.907646521097792,0.282013350011725,0.474814048981754,1.34605709957024,38
"CSR_EARLY_UP.V1_DN",0.242647058823529,1,0.172324344900946,0.39154121351688,1.15710018437525,43
"CSR_EARLY_UP.V1_UP",0.472350230414747,1,0.0547939500773363,-0.424267553491479,-1.00738496607323,93
"CSR_LATE_UP.V1_DN",0.980440097799511,1,0.0227269260340067,-0.236666974261899,-0.542919292514422,67
"CSR_LATE_UP.V1_UP",0.525,1,0.0536769600638126,-0.426483590047486,-0.968052057378186,61
"CTIP_DN.V1_DN",0.844370860927152,1,0.0780892306943345,0.27755855300804,0.760968549703888,32
"CTIP_DN.V1_UP",0.15552099533437,0.975312704233534,0.137250779610133,-0.710153271054537,-1.37112043245861,19
"CYCLIN_D1_KE_.V1_DN",0.14480198019802,0.970912480877103,0.12563992130984,-0.572053443518604,-1.30493062238217,65
"CYCLIN_D1_KE_.V1_UP",0.605952380952381,1,0.0448645113168564,-0.383345221846134,-0.900030792268437,83
"CYCLIN_D1_UP.V1_DN",0.982121573301549,1,0.0211456362513594,-0.231342434097633,-0.542319778772817,82
"CYCLIN_D1_UP.V1_UP",0.458438287153652,1,0.0603786357920401,-0.451272140664206,-1.02337246274671,62
"DCA_UP.V1_DN",0.87363304981774,1,0.0285743975105342,-0.293254338890455,-0.677277527082556,70
"DCA_UP.V1_UP",0.652588555858311,1,0.0476387259290825,-0.393430823748051,-0.84242910727809,38
"E2F1_UP.V1_DN",0.0820980615735462,0.881867117876688,0.16440575583821,-0.57914046660246,-1.38690785554496,102
"E2F1_UP.V1_UP",0.973684210526316,1,0.109684061970549,0.218292976887882,0.737425835076593,86
