"pathway","pval","padj","log2err","ES","NES","size","cluster"
"AKT_UP.V1_DN",0.00357669224280838,0.037555268549488,0.431707695803346,-0.68516635877288,-1.710799673578,15,"0"
"AKT_UP.V1_UP",0.394132653061224,0.522744360902256,0.0683110858318647,-0.373896243183256,-1.04151775614255,24,"0"
"AKT_UP_MTOR_DN.V1_UP",0.295454545454545,0.428849565179769,0.0826646449123753,-0.405449323036266,-1.13737250059495,25,"0"
"ALK_DN.V1_UP",0.0479452054794521,0.155011655011655,0.241339976815091,-0.590274433689401,-1.4738629466366,15,"0"
"ATF2_S_UP.V1_DN",0.268929503916449,0.404697986577181,0.0897104652742981,-0.426270907665811,-1.15680757245656,21,"0"
"ATF2_S_UP.V1_UP",0.456578947368421,0.558533469596321,0.0626618230932491,-0.378147245190917,-1.00764970495727,19,"0"
"ATF2_UP.V1_DN",0.00532351239405488,0.0419226601031822,0.407017918923954,-0.593478612241781,-1.68420382030554,27,"0"
"BMI1_DN.V1_DN",0.865789473684211,0.886906290115533,0.0329431471724691,-0.26272546147323,-0.709025205598716,20,"0"
"BMI1_DN_MEL18_DN.V1_DN",0.28099173553719,0.416528925619835,0.169570644405628,0.354720152106642,1.13830564282415,19,"0"
"BMI1_DN_MEL18_DN.V1_UP",0.00954680113872309,0.0572808068323386,0.380730400722792,-0.595830784136471,-1.64222527444463,23,"0"
"CAMP_UP.V1_DN",0.126506024096386,0.261307525182698,0.133554954557592,-0.423261082350709,-1.30063926389354,41,"0"
"CAMP_UP.V1_UP",0.228947368421053,0.359867330016584,0.0995791200495904,-0.446500710254969,-1.20498506735237,20,"0"
"CRX_DN.V1_DN",0.142105263157895,0.279769736842105,0.131457611642763,-0.482116749432323,-1.30110315715885,20,"0"
"CRX_NRL_DN.V1_UP",0.0671140939597315,0.185587256559926,0.199915231309662,-0.555082504586345,-1.41497389927508,16,"0"
"CSR_EARLY_UP.V1_UP",0.190728476821192,0.329202576431099,0.11146266692298,-0.472238302981883,-1.23436624912147,18,"0"
"CSR_LATE_UP.V1_DN",0.52317880794702,0.626997586185554,0.0565299525056311,-0.367855241563819,-0.96152322224109,18,"0"
"CYCLIN_D1_KE_.V1_DN",0.051792828685259,0.163147410358566,0.227987202850442,-0.559566221911133,-1.44921135782379,17,"0"
"CYCLIN_D1_KE_.V1_UP",0.00288429975829414,0.0330383426859147,0.431707695803346,-0.632968808674476,-1.73061468919376,22,"0"
"CYCLIN_D1_UP.V1_DN",0.715068493150685,0.782749617358423,0.0437125833579551,-0.335678329913727,-0.838159039612123,15,"0"
"E2F1_UP.V1_DN",0.176543209876543,0.308950617283951,0.111918316325105,-0.433741136589193,-1.25056009044298,29,"0"
"EGFR_UP.V1_DN",0.65587044534413,0.73132456737487,0.103958471559957,0.279859521965921,0.88291010358451,18,"0"
"EGFR_UP.V1_UP",0.0163605497251801,0.0710837677714723,0.352487857583619,-0.482568291559964,-1.5176435972846,47,"0"
"EIF4E_DN",0.367861885790173,0.495488037089163,0.0738052724171275,-0.416406370603669,-1.07844401273538,17,"0"
"ERBB2_UP.V1_DN",0.225165562913907,0.359867330016584,0.100990587455923,-0.460550957587373,-1.20381712888765,18,"0"
"ERBB2_UP.V1_UP",0.10969387755102,0.251298701298701,0.149207542435322,-0.481719436042345,-1.34186784506195,24,"0"
"ESC_J1_UP_EARLY.V1_DN",0.748344370860927,0.805909322465614,0.0400845633477088,-0.312389542666225,-0.816543481566073,18,"0"
"ESC_J1_UP_EARLY.V1_UP",0.317397078353254,0.444355909694555,0.0815265143256594,-0.433665924194638,-1.12314424680164,17,"0"
"ESC_J1_UP_LATE.V1_DN",0.532450331125828,0.626997586185554,0.0557104226766671,-0.365586794034784,-0.955593811072908,18,"0"
"ESC_J1_UP_LATE.V1_UP",0.160493827160494,0.298861480075901,0.118287526124085,-0.43983134293248,-1.26811934031116,29,"0"
"ESC_V6.5_UP_EARLY.V1_DN",0.000346186169320451,0.00623135104776811,0.49849310876659,-0.67352853200111,-1.87616735427845,24,"0"
"ESC_V6.5_UP_LATE.V1_DN",0.00607346986111007,0.0425142890277705,0.407017918923954,-0.624949956192408,-1.69597978358061,21,"0"
"ESC_V6.5_UP_LATE.V1_UP",0.172323759791123,0.308823529411765,0.117249716749792,-0.461929277943174,-1.25357672094054,21,"0"
"GCNP_SHH_UP_EARLY.V1_DN",0.133838383838384,0.271994134897361,0.132846300606183,-0.470975380570068,-1.32118717650374,25,"0"
"GCNP_SHH_UP_LATE.V1_UP",0.451527224435591,0.557927541877678,0.0636424081651019,-0.394425025171972,-1.02151488761581,17,"0"
"HALLMARK_ADIPOGENESIS",0.326693227091633,0.452344468280723,0.0799858801499946,-0.432253824844564,-1.11948707391241,17,"0"
"HALLMARK_ALLOGRAFT_REJECTION",0.577540106951872,0.670081613389661,0.131457611642763,0.245432058278269,0.912944521349436,34,"0"
"HALLMARK_ANDROGEN_RESPONSE",0.629032258064516,0.707661290322581,0.0450442767152794,-0.313835822175902,-0.898395620535158,28,"0"
"HALLMARK_APICAL_JUNCTION",0.042589110785649,0.145033188080859,0.321775918075361,-0.612441556760882,-1.5611892114918,16,"0"
"HALLMARK_APOPTOSIS",0.198090692124105,0.332792362768496,0.102449405629826,-0.389374848196467,-1.20739556826285,44,"0"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0667539267015707,0.185587256559926,0.197822021315103,-0.525066584501214,-1.43559671738883,22,"0"
"HALLMARK_COAGULATION",0.0184086923990542,0.0773165080760275,0.352487857583619,-0.563952216128804,-1.5543617543159,23,"0"
"HALLMARK_COMPLEMENT",0.169675090252708,0.308823529411765,0.112843355675562,-0.408511817255402,-1.2584882176255,42,"0"
