"pathway","pval","padj","log2err","ES","NES","size","cluster"
"HALLMARK_ADIPOGENESIS",0.326693227091633,0.389518847686178,0.0799858801499946,-0.432253824844564,-1.11948707391241,17,"0"
"HALLMARK_ALLOGRAFT_REJECTION",0.577540106951872,0.641781681304893,0.131457611642763,0.245432058278269,0.912944521349436,34,"0"
"HALLMARK_ANDROGEN_RESPONSE",0.629032258064516,0.672413793103448,0.0450442767152794,-0.313835822175902,-0.898395620535158,28,"0"
"HALLMARK_APICAL_JUNCTION",0.0224007333476447,0.0694422733776986,0.352487857583619,-0.612441556760882,-1.5611892114918,16,"0"
"HALLMARK_APOPTOSIS",0.198090692124105,0.24563245823389,0.102449405629826,-0.389374848196467,-1.20739556826285,44,"0"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0667539267015707,0.137958115183246,0.197822021315103,-0.525066584501214,-1.43559671738883,22,"0"
"HALLMARK_COAGULATION",0.0405267528908263,0.0966407184319704,0.321775918075361,-0.563952216128804,-1.5543617543159,23,"0"
"HALLMARK_COMPLEMENT",0.169675090252708,0.224775326797386,0.112843355675562,-0.408511817255402,-1.2584882176255,42,"0"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.24052067277227e-06,0.00019345614085594,0.610526878385931,-0.693030338538431,-2.06419959007174,35,"0"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.174019607843137,0.224775326797386,0.112378519110475,-0.42966317653127,-1.25734351531043,32,"0"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.161290322580645,0.224775326797386,0.118287526124085,-0.440085992113704,-1.25980305636436,28,"0"
"HALLMARK_FATTY_ACID_METABOLISM",0.0828947368421053,0.160608552631579,0.176694268938498,-0.516646302431482,-1.39428911362145,20,"0"
"HALLMARK_G2M_CHECKPOINT",0.823684210526316,0.823684210526316,0.0353157046479879,-0.282094282112409,-0.751697186097948,19,"0"
"HALLMARK_GLYCOLYSIS",0.000250769462430482,0.00155477066706899,0.49849310876659,-0.655826925949299,-1.89087663272964,29,"0"
"HALLMARK_HEME_METABOLISM",0.154966887417219,0.224775326797386,0.12563992130984,-0.485634559017274,-1.26938222772859,18,"0"
"HALLMARK_HYPOXIA",5.98025625234698e-05,0.000617959812742521,0.557332238758646,-0.587054699941176,-1.89292318990097,58,"0"
"HALLMARK_IL2_STAT5_SIGNALING",0.0545023696682464,0.120683818551117,0.208955027549354,-0.455055313402094,-1.42192632109093,46,"0"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.137614678899083,0.213302752293578,0.261663521711573,0.38009738644916,1.30365074104555,24,"0"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00909080729881691,0.037482786744383,0.380730400722792,-0.4815116711169,-1.54419604709972,57,"0"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.3017461752052e-05,0.000201770657156807,0.593325476396405,0.727090549372406,2.38366977759964,20,"0"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8.94736324567172e-05,0.000693420651539558,0.538434096309916,0.487832167908262,2.01010413960644,53,"0"
"HALLMARK_KRAS_SIGNALING_UP",0.0250577609568995,0.0706173263330804,0.352487857583619,-0.513967009224433,-1.51584407776993,33,"0"
"HALLMARK_MITOTIC_SPINDLE",0.579673776662484,0.641781681304893,0.0492917662312669,-0.326880213386743,-0.922587009654059,26,"0"
"HALLMARK_MTORC1_SIGNALING",0.00583203660170965,0.0301321891088332,0.407017918923954,-0.539319873609105,-1.64863922103117,40,"0"
"HALLMARK_MYOGENESIS",0.118421052631579,0.193213296398892,0.14551614609036,-0.493767066158149,-1.33254422178007,20,"0"
"HALLMARK_P53_PATHWAY",0.013592502715281,0.0468186204637457,0.380730400722792,-0.507065557026154,-1.56209931298551,42,"0"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.103260869565217,0.177838164251208,0.141225119642531,-0.371610467372688,-1.25573351709099,93,"0"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0292727408911011,0.0756212473020111,0.352487857583619,-0.579768108858009,-1.51543443505633,18,"0"
"HALLMARK_UV_RESPONSE_DN",0.0943627450980392,0.17207324106113,0.158514105424824,-0.468191157379401,-1.37008975358128,32,"0"
"HALLMARK_UV_RESPONSE_UP",0.781565656565657,0.807617845117845,0.0358449292332649,-0.282466883171868,-0.792380322262156,25,"0"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00967297722435691,0.037482786744383,0.380730400722792,-0.557441389070422,-1.61845600369023,30,"0"
"HALLMARK_ADIPOGENESIS",0.555389221556886,0.748568081228847,0.059476028695732,-0.370097840337583,-0.9362393485096,17,"1"
"HALLMARK_ALLOGRAFT_REJECTION",0.2,0.376059050064185,0.108820126769161,-0.398823108435308,-1.19676681313151,37,"1"
"HALLMARK_ANDROGEN_RESPONSE",0.686813186813187,0.8555672823219,0.0456790414930062,-0.304347919944858,-0.855721075458068,29,"1"
"HALLMARK_APICAL_JUNCTION",0.0958083832335329,0.354441512752858,0.175204047558551,-0.54616269951069,-1.38163197467923,17,"1"
"HALLMARK_APOPTOSIS",0.904699738903394,1,0.0304180507344859,-0.227850714193723,-0.70515655839982,44,"1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.950581395348837,1,0.0332359307785383,-0.228108165568982,-0.608387301132492,22,"1"
"HALLMARK_COAGULATION",0.236666666666667,0.376059050064185,0.165656695205483,0.382623635296417,1.17702345242929,23,"1"
"HALLMARK_COMPLEMENT",0.102902374670185,0.354441512752858,0.157402899305283,-0.435356049436423,-1.33745902555402,43,"1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.157258064516129,0.357037193575655,0.12563992130984,-0.421706739904551,-1.24291261138794,35,"1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0592991913746631,0.306379155435759,0.213927855492356,-0.491015001882555,-1.43216546812915,33,"1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0384615384615385,0.238461538461538,0.271288554688953,-0.527326422888895,-1.48265949638722,29,"1"
"HALLMARK_FATTY_ACID_METABOLISM",0.154518950437318,0.357037193575655,0.132846300606183,-0.501974629099448,-1.3060651330701,19,"1"
"HALLMARK_G2M_CHECKPOINT",0.984126984126984,1,0.0681513438679483,0.180015612902972,0.540130898307859,21,"1"
"HALLMARK_GLYCOLYSIS",0.791666666666667,0.943910256410256,0.0888945288620449,0.234908258070977,0.789172331360487,30,"1"
"HALLMARK_HEME_METABOLISM",0.161242603550296,0.357037193575655,0.130777137971974,-0.494520092089189,-1.26833612414555,18,"1"
"HALLMARK_HYPOXIA",0.0182478731631922,0.188561356019653,0.352487857583619,0.368582745270553,1.41789649489134,61,"1"
"HALLMARK_IL2_STAT5_SIGNALING",0.179586563307494,0.37114556416882,0.11378726182188,-0.395433819326613,-1.2286223596564,46,"1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00183462936039967,0.0568735101723897,0.45505986738723,-0.662212075034432,-1.76618586231939,22,"1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.242618741976893,0.376059050064185,0.0946646223153342,-0.363828159201735,-1.15153152610371,55,"1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.505917159763314,0.734460268867297,0.0633597010643758,-0.378013548234535,-0.969522262718952,18,"1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00612268495452526,0.0949016167951415,0.407017918923954,-0.511076518414808,-1.60563812931898,51,"1"
"HALLMARK_KRAS_SIGNALING_UP",0.148247978436658,0.357037193575655,0.130105630751129,-0.433441003099857,-1.26423680484482,33,"1"
"HALLMARK_MITOTIC_SPINDLE",0.121951219512195,0.357037193575655,0.241339976815091,0.394478267352829,1.29018868674986,27,"1"
"HALLMARK_MTORC1_SIGNALING",0.689973614775726,0.8555672823219,0.0436251240000606,-0.2873968695178,-0.870199607764824,40,"1"
"HALLMARK_MYOGENESIS",0.521229868228404,0.734460268867297,0.0614364107201271,-0.363646895779602,-0.954782967437403,20,"1"
"HALLMARK_P53_PATHWAY",1,1,0.0258331720982323,-0.128855831293657,-0.395858504279575,43,"1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0350467289719626,0.238461538461538,0.261663521711573,-0.403407033479622,-1.39022569394933,93,"1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.960122699386503,1,0.0676760401641789,0.198190789473684,0.567400940422997,18,"1"
"HALLMARK_UV_RESPONSE_DN",0.23252688172043,0.376059050064185,0.0999276973731092,-0.404436769392117,-1.17725054012194,32,"1"
"HALLMARK_UV_RESPONSE_UP",0.0873239436619718,0.354441512752858,0.178219874951973,-0.491062165767209,-1.34699101056867,25,"1"
