"pathway","pval","padj","log2err","ES","NES","size","cluster","database","direction"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.07152887046337e-06,0.000256506318839193,0.610526878385931,-0.691181523256167,-2.05804641003208,35,"0","HALLMARK","Down"
"HALLMARK_HYPOXIA",2.28940029704333e-05,0.000961548124758199,0.575610261071129,-0.587712903368269,-1.89693867990257,58,"0","HALLMARK","Down"
"GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN",2.94209864485234e-06,0.00135185640327438,0.627256739718528,-0.665915408527018,-2.01890583521235,42,"0","IMMUNE","Down"
"GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN",1.49609646659891e-06,0.00135185640327438,0.643551836150722,-0.630236000274074,-2.01264806851244,59,"0","IMMUNE","Down"
"GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP",4.03057606992328e-06,0.00137903281249518,0.610526878385931,-0.611864232314012,-1.9895681031991,66,"0","IMMUNE","Down"
"GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN",4.88941751777009e-08,0.000117101549550594,0.719512826338911,0.663776694437558,2.45541249272175,37,"0","IMMUNE","Up"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.41265184226008e-06,0.000256506318839193,0.627256739718528,0.731131297241327,2.40272218033225,20,"0","HALLMARK","Up"
"GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN",2.92971932913281e-06,0.00135185640327438,0.627256739718528,0.645171715487047,2.38260280435886,36,"0","IMMUNE","Up"
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_DN",3.38669662615711e-06,0.00135185640327438,0.627256739718528,0.605351307104875,2.27689220550305,39,"0","IMMUNE","Up"
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",2.640616676776e-06,0.00135185640327438,0.627256739718528,0.672214138438466,2.40534330564515,29,"0","IMMUNE","Up"
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",5.63737876498883e-06,0.0136537313688029,0.610526878385931,-0.598726196144547,-1.96812048454117,65,"1","IMMUNE","Down"
