"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DIO2",2.63949923783761e-12,6.71376925946358,0.218,0.005,8.89352873197003e-08
"CST2",1.38770687389183e-06,4.39938089483287,0.144,0.02,0.0467573954089112
"PENK",0.00203616606976444,4.37246356375007,0.105,0.036,1
"MUC12",1.44143043001772e-05,4.12245576391233,0.116,0.015,0.485675569090171
"ENTPD1",2.45617826603857e-11,4.09543108902156,0.24,0.031,8.27584704959034e-07
"CXCL14",2.30454777692779e-12,3.99309347239036,0.283,0.046,7.76494327958051e-08
"ITM2A",0.000387752941655097,3.79609280859653,0.103,0.026,1
"PALMD",1.08062875946996e-06,3.21082253338864,0.132,0.01,0.0364107054215807
"AREG",0.000165642253004027,3.11973535219006,0.114,0.026,1
"CCL11",7.96423366339313e-05,3.11056853643231,0.175,0.066,1
"WNT5A",3.04499439620648e-07,3.10592764896834,0.159,0.02,0.0102598041185781
"KIAA0930",8.01133288613779e-06,2.88838946423354,0.153,0.036,0.269933850265527
"PLXDC1",0.000349104746522172,2.81342114527857,0.113,0.031,1
"NTM",3.09535743872143e-08,2.76779843099226,0.193,0.031,0.0010429497354028
"MT1A",0.000353539273893583,2.74664624849665,0.155,0.061,1
"IGFBP2",3.04410554974892e-11,2.74643444571899,0.338,0.107,1.0256809239324e-06
"SCGB3A2",5.9968727408889e-14,2.73232923972637,0.379,0.102,2.02058630131511e-09
"CXCL17",0.000275737971840449,2.73155508839387,0.122,0.036,1
"COL14A1",1.64489980056974e-27,2.70047276563072,0.653,0.265,5.5423253880397e-23
"INHBA",3.22001730050835e-08,2.67139530031427,0.234,0.061,0.00108495262923328
"FNDC1",1.40359974879828e-05,2.59938807867782,0.134,0.026,0.472928899360091
"COMP",4.73262426146091e-12,2.58450682820299,0.285,0.046,1.59461041865664e-07
"THY1",7.21260385153671e-30,2.58212970212944,0.657,0.245,2.43021474173678e-25
"SFRP2",3.99392889140124e-16,2.55647794659088,0.478,0.163,1.34571440066874e-11
"LDLR",0.00037857990329428,2.49624712534738,0.113,0.031,1
"IGFBP4",3.25265885555475e-37,2.47977092197992,0.798,0.342,1.09595087479062e-32
"CASC15",0.00031741303122286,2.41400965113627,0.122,0.036,1
"TYRP1",0.000173071952042473,2.39978762971554,0.128,0.036,1
"TM4SF1",0.00227912665615237,2.39037360678098,0.149,0.071,1
"SERPINA1",1.85459853689738e-07,2.36184615617256,0.235,0.071,0.00624888431022203
"NAPSA",5.71137719262202e-05,2.34209708500971,0.182,0.071,1
"ITIH5",3.15972735608767e-17,2.33833954242937,0.469,0.143,1.06463853536018e-12
"COL12A1",0.000154488408768902,2.29219811386778,0.287,0.179,1
"EMID1",2.08426262187928e-05,2.23658289894226,0.148,0.036,0.702271447816003
"COL15A1",4.43961425744385e-16,2.2271982500843,0.435,0.117,1.49588362790313e-11
"FHL2",8.82699772734267e-11,2.17573724113694,0.4,0.179,2.97416861425084e-06
"IL32",2.02272679108457e-16,2.15985533179481,0.51,0.199,6.81537564988035e-12
"PLPPR4",7.63192588397561e-09,2.1594895623625,0.244,0.056,0.000257150110734674
"IGF1",1.12656612352728e-14,2.15475054323059,0.474,0.179,3.79585189661281e-10
"PTGFRN",7.66650261816571e-06,2.14525065601696,0.218,0.087,0.258315139216475
"FAM118A",2.6670157762083e-08,2.13317959810117,0.26,0.077,0.000898624295635624
"ALDH1A3",9.2022738765086e-07,2.11221176631696,0.212,0.061,0.0310061415995081
"IGFBP3",0.00227386284013853,2.1101371381254,0.226,0.138,1
"SDC3",3.01211012946759e-05,2.10914328215956,0.145,0.036,1
"TULP4",0.000680152339836195,2.08884801624378,0.116,0.036,1
"ISM1",0.000297576622626628,2.07729756398254,0.117,0.031,1
"ADGRG6",0.000227266531773599,2.06560668731966,0.119,0.031,1
"TNC",7.93473007751061e-09,2.04173640939794,0.411,0.204,0.000267352795231642
"SAMD11",0.00103440795503632,2.03567280719206,0.167,0.082,1
"ARHGAP18",4.84849737239751e-06,2.03175702036229,0.182,0.051,0.163365270465562
"MYH11",0.000148243072134418,2.02036006784642,0.139,0.041,1
"CNN1",0.00495588756988559,2.01534625915465,0.137,0.066,1
"CSGALNACT2",9.4574329221043e-07,2.00502085624747,0.255,0.102,0.0318658744877382
"SCARA3",0.00178141634887149,1.96883157839805,0.196,0.112,1
"POSTN",1.56776990787944e-08,1.95334669465466,0.405,0.189,0.000528244392760898
"CCL13",0.00335703842652782,1.94607952922025,0.102,0.036,1
"MRVI1",1.7889297900722e-05,1.94553478858416,0.135,0.026,0.602762003466927
"SERTAD1",6.38424043152078e-09,1.91612125922297,0.363,0.168,0.000215110597099661
"TSHZ2",1.06445146269144e-08,1.91439195306681,0.365,0.173,0.000358656275839255
"CD34",9.05060611027359e-06,1.89100072107618,0.197,0.066,0.304951122279558
"IGKV3-20",0.000135999333662688,1.86998869276712,0.109,0.02,1
"RP11-553L6.5",0.000323661619143345,1.86922276808926,0.157,0.061,1
"ERAP2",0.000431077042769396,1.83992451175033,0.172,0.077,1
"ANK2",4.19287448520713e-05,1.82596478745105,0.251,0.128,1
"LTBP1",9.1609307830785e-26,1.81169060947644,0.754,0.439,3.08668401805047e-21
"ENC1",1.83081386987883e-07,1.80986029517356,0.327,0.153,0.00616874425316971
"LAYN",0.00110049085708242,1.8038443578913,0.133,0.051,1
"SFTPC",0.21091073088121,1.79903475189198,0.522,0.668,1
"OGFOD1",0.00112657814838262,1.7646872047228,0.105,0.031,1
"ZMAT3",0.000250030435798067,1.75498163184034,0.198,0.092,1
"PCSK1N",0.000894866726876213,1.75449055399772,0.137,0.051,1
"CFAP69",0.000834097715123457,1.74695889153239,0.149,0.061,1
"CCND2",3.20410077250939e-07,1.74364472255324,0.287,0.117,0.0107958971428931
"TPPP3",1.03123711927703e-07,1.73420564349204,0.247,0.071,0.00347465034969201
"PGM2L1",0.0034943350083414,1.72558130321873,0.114,0.046,1
"ROBO2",4.89309348138247e-13,1.71354545789185,0.459,0.179,1.64867891761701e-08
"SLC6A6",0.000558489640160201,1.71007962250752,0.14,0.051,1
